date,symbol,open,close,low,high,volume
2020-05-10 04-PM,BTCUSDT,8650.96,8270,8255,8686.87,114353934.77
2020-05-10 03-PM,BTCUSDT,8659.82,8650.96,8560,8716.45,48614822.23
2020-05-10 02-PM,BTCUSDT,8771,8659.82,8600.95,8789.76,34946382.35
2020-05-10 01-PM,BTCUSDT,8717.18,8771,8690.18,8817,24631023.4
2020-05-10 12-PM,BTCUSDT,8737.35,8717.18,8685,8775,26355711.08
2020-05-10 11-AM,BTCUSDT,8810.2,8737.35,8645,8815.25,39748151.09
2020-05-10 10-AM,BTCUSDT,8749.73,8810.2,8665.83,8836.56,41411789.87
2020-05-10 09-AM,BTCUSDT,8811.66,8749.73,8735.94,8850,32562816.67
2020-05-10 08-AM,BTCUSDT,8812.28,8811.66,8773.4,8900,66546530.09
2020-05-10 07-AM,BTCUSDT,8602.63,8812.28,8600,8835,62975039.12
2020-05-10 06-AM,BTCUSDT,8621.06,8602.63,8554.67,8631.54,27609976.48
2020-05-10 05-AM,BTCUSDT,8559.1,8621.06,8550.21,8657.32,37442961.18
2020-05-10 04-AM,BTCUSDT,8622.78,8559.1,8470.3,8624.96,58700732.84
2020-05-10 03-AM,BTCUSDT,8661.49,8622.78,8316,8673,89739263.33
2020-05-10 02-AM,BTCUSDT,8712.01,8661.49,8635.82,8717.75,42574678.62
2020-05-10 01-AM,BTCUSDT,8703.67,8712.01,8575.66,8775,112138829.59
2020-05-10 12-AM,BTCUSDT,9539.4,8703.67,8117,9574.83,413986385.96
2020-05-09 11-PM,BTCUSDT,9600.51,9539.4,9525,9634.45,41818728.8
2020-05-09 10-PM,BTCUSDT,9613.13,9600.51,9563,9677.99,27267169.24
2020-05-09 09-PM,BTCUSDT,9655.28,9613.13,9577.85,9666.58,30000549.9
2020-05-09 08-PM,BTCUSDT,9744.77,9655.28,9600,9773.09,35914623.15
2020-05-09 07-PM,BTCUSDT,9738.78,9744.77,9730,9771.5,13360007.83
2020-05-09 06-PM,BTCUSDT,9774.95,9738.78,9721,9786.35,18583125.51
